player,target,round_table,Season,second_turn
4_Ross Garshong,Banished(Episode 4),11,4,
4_Hugo Lodge,4_Judy Wilson,1,4,
4_Hugo Lodge,4_Amanda Collier,2,4,
4_Hugo Lodge,Banished(Episode 3),3,4,
4_Hugo Lodge,Banished(Episode 3),4,4,
4_Hugo Lodge,Banished(Episode 3),5,4,
4_Hugo Lodge,Banished(Episode 3),6,4,
4_Hugo Lodge,Banished(Episode 3),7,4,
4_Hugo Lodge,Banished(Episode 3),8,4,
4_Hugo Lodge,Banished(Episode 3),9,4,
4_Hugo Lodge,Banished(Episode 3),10,4,
4_Hugo Lodge,Banished(Episode 3),11,4,
4_Ben,4_Judy Wilson,1,4,
4_Ben,Murdered(Episode 3),2,4,
4_Ben,Murdered(Episode 3),3,4,
4_Ben,Murdered(Episode 3),4,4,
4_Ben,Murdered(Episode 3),5,4,
4_Ben,Murdered(Episode 3),6,4,
4_Ben,Murdered(Episode 3),7,4,
4_Ben,Murdered(Episode 3),8,4,
4_Ben,Murdered(Episode 3),9,4,
4_Ben,Murdered(Episode 3),10,4,
4_Ben,Murdered(Episode 3),11,4,
4_Judy Wilson,4_Sam Little,1,4,
4_Judy Wilson,Banished(Episode 2),2,4,
4_Judy Wilson,Banished(Episode 2),3,4,
4_Judy Wilson,Banished(Episode 2),4,4,
4_Judy Wilson,Banished(Episode 2),5,4,
4_Judy Wilson,Banished(Episode 2),6,4,
4_Judy Wilson,Banished(Episode 2),7,4,
4_Judy Wilson,Banished(Episode 2),8,4,
4_Judy Wilson,Banished(Episode 2),9,4,
4_Judy Wilson,Banished(Episode 2),10,4,
4_Judy Wilson,Banished(Episode 2),11,4,
4_Netty Österberg,Murdered(Episode 2),1,4,
4_Netty Österberg,Murdered(Episode 2),2,4,
4_Netty Österberg,Murdered(Episode 2),3,4,
4_Netty Österberg,Murdered(Episode 2),4,4,
4_Netty Österberg,Murdered(Episode 2),5,4,
4_Netty Österberg,Murdered(Episode 2),6,4,
4_Netty Österberg,Murdered(Episode 2),7,4,
4_Netty Österberg,Murdered(Episode 2),8,4,
4_Netty Österberg,Murdered(Episode 2),9,4,
4_Netty Österberg,Murdered(Episode 2),10,4,
4_Netty Österberg,Murdered(Episode 2),11,4,
